Title,Code,Term,Description,Learning Outcomes,Module Content,Prerequisites,Lecturer
Advanced Imaging Technologies for Systems Biology and Biomedical Research,BIOE60015,Autumn,In this module you will be introduced to advanced imaging technologies as a powerful toolbox in systems biology and biomedical research with an emphasis on addressing developmental and disease processes in various animal models. The overall goal of the module is to enable you to critically evaluate and carefully design imaging experiments in order to analyse dynamic processes in complex biological systems.,"Upon successful completion of this module, you will be able to:Explain and compare various optical imaging techniquesDiscuss the advantages of various model organisms for biomedical imagingEvaluate the use of advanced imaging technologies to visualise and\/or quantify complex biological eventsTest hypotheses of development and disease progression by designing imaging experiments"," Imaging offers the unique advantage of observing biological processes with high spatiotemporal resolution in whole organisms, offering a path to more refined, quantitative dynamic models. The recent introduction of advanced imaging tools and automated instrumentation will enable researchers to apply imaging for both hypothesis-driven research and high-throughput analysis.To achieve such biosystems imaging expertise, you will need to acquire the following competences: &nbsp;a) identify and compare various imaging techniques. This competence will be accomplished by giving you an in-depth view of modern microscopy techniques such as confocal, non-linear, and fast volumetric microscopy. Further, the student will be introduced to quantitative fluorescence microscopy techniques, that have been successfully conducted in the laboratory (e.g. FRAP, FDAP). &nbsp;b) discuss the advantages of various model organisms for systems biology studies. The emphasis here will be on the relevance and quality of the data whilst conducting animal experiments with the highest ethical standards. &nbsp;c) Explain developmental principles during animal development such as the emergence of asymmetry, pattern formation and regeneration.With these competences at hand, you will appreciate how to exploit advanced imaging technologies as a particularly valuable toolbox capable of elucidating dynamic processes in complex biological systems. You will be able to evaluate different experimental approaches to interrogate development and disease, and test hypotheses by designing imaging experiments to analyse dynamic biological processes. ",N/A,Laki Pantazis
Advanced Physiological Monitoring and Data Analysis,"BIOE60031,BIOE70008",Autumn,N/A,"Upon successful completion of this module, you will be able to:Distinguish between fitness for purpose, calibration and reliability of measurement as applied to physiological monitoringCalculate &nbsp;measurement statistics from provided dataEvaluate electrochemical methods for measuring concentrationEvaluate non-invasive and invasive methods for measuring chemical concentrations in tissueCompare the factors controlling concentration of molecules in tissueAssess whether conclusions from a paper or figure are justified by presented data"," Introduction LectureData handling and fitness for purpose:Normality of experimental data, types of error, error propagation, precision and accuracy significance testing, parametric, non-parametric, rejection of outlier data, the limit of detection, calibration, the fitness of purpose of a bioanalytical method supported by problem classesPhysiological monitoring - molecular detection methodsElectrochemical sensors:Electroanalysis, potentiometric methods, amperometric methods, microelectrodes and nanoscale surfaces, surface coatings, biosensors fast cyclic voltammetry, exocytosis, in vivo voltammetryMeasurement from the tissue by indirect measurement:Advantages and challenges of indirect measurement from - blood, urine, and sweat. Invasive tissue monitoring - the extracellular space - structure, diffusion, factors affecting extracellular concentration, delivery and removal fluxesJournal Reviews &nbsp;- tissue measurementMeasurement in tissue:Tissue sampling with Microdialysis: Microdialysis general principles, factors affecting recovery in vitro and in vivo, zero net flux methods, typical microdialysis protocol, tissue damage, rapid sampling, multimodal monitoring of tissue, need for smaller dialysis probes. Microfluidics. Direct tissue measurement with in vivo electrodes - fast cyclic voltammetry, biosensors. Comparison between implanted electrochemical sensors, and sampling methodsJournal Review - In vivo measurement ",Simple algebra \/ calculus only for the statistics of measurement part.,"Martyn Boutelle, Danny O'Hare"
Advanced Synthetic Biology ,BIOE70007,Spring,"This module extends from basics introduced in Foundations of Synthetic Biology and now sees the students design and model their own synthetic DNA programs for use in an application. You will have the opportunity to extend your understanding of computational modelling of biological systems through practical application, and will work on a mini-iGem project making use of synthetic biology principles, computer modelling, ethics and experimental design. This module is also available to life sciences and biochemistry students and so will allow you to work in a multidisciplinary team, and assessment exercises will help you develop your professional practice.&nbsp;","Upon successful completion of this module, you will be able to:&nbsp;Formulate advanced principles of biological systems.Design and model synthetic DNA programsCritically evaluate research literature in the area of synthetic biology.Compare and evaluate the merits of different solutions to a given problem."," This module will be based around the completion of a Mini-iGEM project. This exercise will include a presentation, peer review and final project poster. Making use of modular synthetic biology, computer modelling, ethics and project design. Demonstration of modelling on a laptop next to a poster. ",Foundations of Synthetic Biology - PrerequisiteModelling in Biology - Prerequisite,Tom Ellis
An Introduction to Biomaterials,BIOE50012,"Autumn,Spring","This module will introduce major classes of biomedical implant materials including metals, ceramics and polymers. We will focus of how these classes of materials have been used clinically to replace body parts or tissues within the body as implanted devices, the types and reasons for failure and introduce biomaterials as tissue engineering constructs to regenerate diseased tissues to restore organ function.","On completion of this module you will be able to:Identify various tissues and organs within the human body and explain the effects of ageing and disease on the structure and mechanical properties of these tissuesDescribe the major classes of biomedical implant materials, their basic properties, means of fixation, stability and advantages and disadvantages when used as implant deviceExplain the types of failure of implants and devices in various clinical applications and the reasons for failureDescribe the physiological principles involved in the replacement of various parts of the body with artificial organs, transplants or tissue-engineered constructs and the clinical compromises involved. &nbsp;discuss the principles involved in growing tissues in vitro and describe the physiological and clinical limitations involved;Defend the relative merits of replacing a body part with a tissue engineering construct;&nbsp;Conduct an effective literature search on new developments in the replacement of tissues and organs.&nbsp;Communicate alternative means to repair or replace parts of the body to both healthcare professionals and patients."," This module will introduce major classes of biomedical implant materials including metals, ceramics and polymers. We will focus of how these classes of materials have been used clinically to replace body parts or tissues within the body as implanted devices, the types and reasons for failure and introduce biomaterials as tissue engineering constructs to regenerate diseased tissues to restore organ function. ",N/A,"Ben Almquist, Tweety Tang"
Animal Locomotion and Bioinspired Robots,BIOE70003,Spring,"In this module you will be provided with practical training in bio-inspired robotics locomotion. The course revolves around selected topics in animal locomotion and corresponding robotics projects. You are expected to participate in all hands-on activities and the assessment will be based on the performance of the implemented devices as well as the accompanying coursework. This module is designed to reinforce the engineering skills for implementing mechatronics systems, thus merely understanding the theory is not sufficient to pass the course.","Upon successful completion of this module, you will be able to:Discuss the process and challenges in bio-inspired robotics.Identify and analyse the biological principles underlying different robotic applications.Evaluate the performances of bioinspired robots and draw additional inspirations from nature.Design a new version of a bioinspired robot and propose concrete implementation.Assemble and condition a bioinspired robot to accomplish the assigned tasks using biological principles.Perform live robot demonstrations in a team environment", Dynamics of legged locomotionThe challenge of feedback motion controlVisual tracking and sensorimotor controlGuidance with simple sensory rulesCoordination of multiple ongoing behaviours ,"Mechanics, Biomechanics, Math, and Mechatronics project experience. Algebra, trigonometry, basic understanding of numerical solutions of differential equations Programming in Matlab Programming in Python Basic CAD skillsBased on past student feedback, this module will be the most time-consuming module you will have during the Spring term due to the volume and the nature of hands-on exercises. While there is no exam in the summer term, this is NOT an easy module.&nbsp;If you have no general programming experience, you will invariably struggle with the module. In the first section you need to work with Matlab Simulink, and for the rest of the module, you will need to code in micropython. While coding is something you can self-learn efficiently, you need to be at the operational level by the beginning of the Spring term to follow the module. This is an advanced elective module targeting hands-on train&nbsp;ing.&nbsp;A large proportion of the assessments come from hands-on demonstrations. In other words, your marks will be directly determined by the performance of your device in a fair evaluation. Do consider if you would be comfortable with this type of assessment.Since this is a practical module, you are expected to be present in every session. Do consider if you are happy to commit to these training sessions in the Spring term. Unlike a lecture-based module, any absence in this module will have to go through a formal mitigation process.&nbsp;There will be some teamwork and you are expected to participate and treat your teammates professionally.&nbsp;",Huai-Ti Lin
Application Specific Integrated Circuits (ASICs) for Bioengineering,BIOE70001,Spring,"In this module you will be introduced to the basics of simulation, physical layout and verification of Application Specific Integrated Circuits (ASICs) for Bioengineering applications.&nbsp;You will have the opportunity to practice the application of good layout techniques for passive and active components of an ASIC and to practice the application of modular and hierarchical layout of an ASIC.","Upon successful completion of this module, you will be able to:Discuss the importance of the \u201cdesign rules\u201d of a technology when laying-out.Discuss the significance and impact of good and bad layouts on high-fidelity design-to-spec.Employ good layout techniques for active and passive components.Explain the ASIC tape-out process.Create modular designs and layouts of small IC blocks (e,g. current mirrors, differential pairs).Create hierarchical design and layout of larger IC blocks (e.g. OTAs, Op-Amps).Assess the role of typical industry-applied simulations e.g. Monte Carlo, Post-layout.Produce a CADENCE simulation, layout and verification of ASICs and iterative layouts to achieve \u201cDesign Rule Check clear\u201d."," Technology &amp; IC Layout (Lectures):IC fabrication errors (random and systematic); Matching techniques for passive and active components; Monte Carlo (MC) evaluation, process corners etc; ESD protection, pads and pads\u2019 ring; Overview of IC tape-out flowchart.High-fidelity simulation of ICs (CAD LAB):Familiarisation with simulation tools. Single NMOS\/PMOS characteristics. Common-source amplifier; time- and frequency-domain simulations. Differential pair; DC-characteristics; differential and common-mode simulations.The layout of ASICs (CAD LAB):Familiarisation with layout tools (layout editor) and DRC (Design Rules Check) procedure. Layout of passive components; MC evaluation for good and bad matching of passive components. The layout of active devices; MC evaluation for good and bad matching of active components. LVS (Layout vs. Schematic) procedure of small modules. Post-layout simulation. Pads. ",N/A,Manos Drakakis
Artificial Intelligence for Drug Discovery,BIOE70150,Spring,"Artificial Intelligence (AI) has the potential to transform drug discovery. Unfortunately, many studies in this area are limited by insufficient domain knowledge and\/or misunderstanding AI limitations. These shortcomings have strongly contributed to inflated expectations and suboptimal applications of AI.In this module, you will:be introduced to computer-aided drug discovery and related domain knowledge.be introduced to AI techniques applied to a range of drug discovery problems.gain a deep understanding of current AI limitations.develop critical thinking skills for AI applications.","Upon successful completion of this module you will be able to:classify a range of supervised and self-supervised learning algorithms.identify which domain knowledge is required to apply AI to a given drug discovery problem.assess whether an AI application is sound and, if not, propose alternatives to mitigate the identified challenges.evaluate whether a benchmark is useful for a given drug discovery problem.interpret how quantifying uncertainty can improve AI applications.compare AI models in terms of how well they are expected to generalise to other datasets."," In this module, you will study the following topics:Introduction to drug discovery: concepts, databases, bioinformatics and chemoinformatics.Introduction AI: concepts, implementations and other resources.Performance misestimation.Unrealistic benchmarks.Uncertainty quantification.Inconsistent data.Class-imbalanced data.Small data.High-dimensional data. ",N/A,Pedro Ballester
Bioengineering Approaches to Cancer,"BIOE60032,BIOE70049",Autumn,"BIOE60032: This module will build on your clinical understanding of the development, progression and challenges facing cancer management. In addition, you will investigate how engineering principles and next-generation technologies can be developed and best applied to the understanding and management of cancer. This module will be delivered over the course of 18 lectures and 9 tutorials in addition to individual study hours.BIOE70049: The goal of this module is twofold. First, to equip you with a fundamental understanding of the development, progression and challenges facing cancer management. Second, to train you on how engineering principles and next generation technologies can be developed and best applied to the understanding and management of cancer. This module will be delivered over the course of 18 lectures and 9 tutorials in addition to individual study hours.&nbsp;","Upon successful completion of this module, you will be able to:Analyse the fundamental biological and biophysical processes involved in cancer initiation, maintenance, and progressionApply engineering, mathematics, and physical science methods to describe cancer processes and critique the validity of these methodsCritique the current methods of cancer treatment and diagnosisApply your knowledge of current and future areas of bioengineering for understanding and managing cancerCommunicate effectively with cancer biologists, oncologists and bioengineers working on cancer.Teach complex topics to peers in other disciplines in an approachable manner"," OncogenesSignal DysregulationTumour suppressor genesCell cycle clockApoptosisImmortalizationMulti-step TumourigenesisGenomic Integrity &amp; Cancer ProgressionCellular\/Nuclear Biomechanics &amp; CancerAngiogenesisMetastasisTransport Phenomena in CancerScreening &amp; Imaging3 Classical Pillars of Cancer ManagementBiomarkers, Off-target Toxicity &amp; Targeted therapiesImmunology &amp; ImmunotherapyLatest Advances in Bioengineering for Cancer Research and Management ",Introductory cell biology for example: BE1-HMCP Molecules Cells and Processes or equivalent. Speak to module leader about suitability if you do not have this completed.,Sam Au
Bioengineering Group Project,BIOE60005,"Autumn,Spring","Students will work on a research project in teams of about 5 to 8 students. These projects can take a variety of forms, and may focus on design, computational work, bench work, extended literature reviews, or building props used for teaching or outreach. Project work starts from the second week of Autumn term, and finishes at the end of Summer Term. Throughout the year, you are expected to work on the project for about 1.5 days (12h) per week (there are no specific dedicated days, as schedules will differ across students depending on their module choices); Autumn and Spring term reading week should largely be dedicated to project work and are followed by intermediate assessments. Project work will be full-time after summer exams. In total, you should spend about 40-60 days full time equivalent on the project, reflecting the contribution to the final year mark (33%).","At the end of this module you will be able to:Access the scientific and engineering literature to guide your project plan.Propose, Plan, implement and manage a research project to reach a defined goal.Successfully organise and time manage group working on your project.Evaluate the effectiveness of your solution.Assemble within your group competency in a variety of lab skills, design, computational modelling, and programming, required for your project.Succinctly communicate your results to both peers and non-experts using written reports, presentations and demonstrations."," The aim of this module is to provide students with key experience in project work, including the development of skills in project management, teamwork, reporting, presentations and general communication, all of which are crucial for successful future research work, and highly valued by employers. Projects are generally designed such that they enable students to apply some of the knowledge acquired in the first two years of their degree in hands-on research, but their main purpose is not a specific research outcome as such. Instead, these projects provide students with the opportunity to develop crucial research and project management skills, in order to prepare them for individual research projects in the future. Projects will not generally reflect particular individual research interests, although groups can specify a core area, and will usually be given a project in this area. ",N/A,Pedro Ballester
Bioengineering Research Project,BIOE70048,"Autumn,Spring,Summer",This module is the main research component of the MRes in Bioengineering Programme. You will conduct a multi-term research project run at the forefront of bioengineering research under the supervision of academics at Imperial College. You will gain practical experience developing and deploying bioengineering tools and principles for understanding a specific area of bioengineering research.,"Upon successful completion of this module, you will be able to:Apply theoretical knowledge to practical situations with due consideration of the limitations of theoretical modelsFormulate and develop a solution to a problem in an area of Bioengineering researchCritically select appropriate laboratory instrumentation and\/or methods, workshop equipment or computational tools and show you can you these correctly and safelyCommunicate the progress and outcomes of project work effectively and accurately, using technical information where relevant both orally and in written formPlan and manage work over several months, meeting deadlines and working within other externally defined constraintsCritically evaluate your project outcome and take personal responsibility for the quality of your work", Your Research Project is an important part of the programme. Projects give you an opportunity to build on the knowledge and skills you have developed in your taught modules and apply this to current problems in the field of Bioengineering.&nbsp;The technical content of this module will be dependent on your project choice and may be linked to a taught module or more closely linked to the research of an academic member of staff. Depending on your project choice you may receive some lab-based training under the direction of a research group. ,N/A,Adam Celiz
